EducationDegreeTypeCode,EducationDegreeTypeText,,,
-,-,,,
BAC,Baccalaureate,,,
Grad,"MS, PhD. MD or equivalent",,,
High,"MS, PhD, MD, or equivalent",,,
Prim,Primary school diploma,,,
Sec,Secondary/high school diploma,,,
Tech,Technical degree certificate,,,
U,Unknown,,,
Univ,"BA, BS, License or equivalent",,,
