OccupationCode,OccupationText,,,
3417,Appraisers and auctioneers,,,
3419,Finance & sales professionals not classified,,,
3420,Business services agents and trade brokers,,,
3421,Trade brokers,,,
3422,Clearing and forwarding agents,,,
3423,Employment agents & labour contractors,,,
3429,Business services agents & trade brokers not class,,,
3430,Administrative associate professionals,,,
3431,Administrative assistants,,,
3432,Legal & related associate business professionals,,,
3433,Bookkeepers,,,
3434,"Stastical, mathematical and related",,,
3435,Other artistic and cultural associate professionals,,,
3439,Admin associate professionals not classified,,,
3440,"Customs, tax and related government officials",,,
3441,Customs and  border inspectors,,,
3442,Government tax and excise officials,,,
3443,Government social benefits officials,,,
3444,Government licencing officials,,,
3449,"Customs, tax & related gvt professionals not class",,,
3450,Police inspectors and detectives,,,
3460,Social work associate professionals,,,
3470,"Artistic, entertainment and sports professionals",,,
3471,Decorators and commercial designers,,,
3472,"Radio, TV and other announcers",,,
3473,"Street, nightclub & related musicians, singers & d",,,
3474,"Clowns, magicians, acrobats and related",,,
3475,"Athletes, sportspersons",,,
3480,Religious associate professionals,,,
3511,Information and communications technology operations technicians,,,
3512,Information and communications technology user support technicians,,,
3513,Computer network and systems technicians,,,
3514,Web technicians,,,
3521,Broadcasting and audio-visual technicians,,,
3522,Telecommunications engineering technicians,,,
41,Office Clerks,,,
4110,Secretaries and keyboard operators,,,
4111,Stenographers & typists,,,
4112,Word-processor & related operators,,,
4113,Data entry operators,,,
4114,Calculating-machine operators,,,
4115,Secretaries,,,
4120,Numerical clerks,,,
4121,Clerks -accounting and bookkeeping,,,
4122,Clerks - statistical and finance,,,
4130,Clerks - material and transport,,,
4131,Clerks - stock,,,
4132,Production clerks,,,
4133,Clerks - transport,,,
4140,"Library, mail and related clerks",,,
4141,Clerks - library and filing,,,
4142,Mail carriers & sorting clerks,,,
4143,"Coding, proof-reading and related clerks",,,
4144,Scribes & related workers,,,
4190,Other office clerks,,,
42,Customer Service Clerks,,,
4210,"Cashiers, tellers, and related clerks",,,
4211,Cashiers & ticket clerks,,,
4212,Tellers & other counter clerks,,,
4213,Bookmakers & croupiers,,,
4214,Pawnbrokers & money-lenders,,,
4215,Debt-collectors & related workers,,,
4220,Client information clerks,,,
4221,Travel agency & related clerks,,,
4222,Receptionists & information clerks,,,
4223,Telephone switchboard operators,,,
4224,Hotel receptionists,,,
4225,Enquiry clerks,,,
4226,Receptionists (general),,,
4227,Survey and market research interviewers,,,
4229,Client information workers not elsewhere classified,,,
4311,Accounting and bookkeeping clerks,,,
4312,"Statistical, finance and insurance clerks",,,
4313,Payroll clerks,,,
4321,Stock clerks,,,
4322,Production clerks,,,
4323,Transport clerks,,,
4411,Library clerks,,,
4412,Mail carriers and sorting clerks,,,
4413,"Coding, proof-reading and related clerks",,,
4414,Scribes and related workers,,,
4415,Filing and copying clerks,,,
4416,Personnel clerks,,,
4419,Clerical support workers not elsewhere classified,,,
51,Personal and Protective Service Workers,,,
5110,Travel attendants and related workers,,,
5111,Travel attendants and stewards,,,
5112,Transport conductors,,,
5113,Travel guides,,,
5120,Housekeeping and restaurant workers,,,
5121,Housekeepers (including housewives),,,
5122,Cooks,,,
5123,"Waiters, waitresses and bartenders",,,
5130,Personal case and related workers,,,
5131,Child-care workers,,,
5132,Institution-based personal care workers,,,
5133,Home-based personal care workers,,,
5139,Personal care and related workers not classified,,,
5140,Other personal services workers,,,
5141,"Hairdressers, barbers, beauticians & related",,,
5142,Companions & valets,,,
5143,Undertakers & embalmers,,,
5149,Other personal services workers not classified,,,
5150,"Astrologers, fortune-tellers and related workers",,,
5151,Astrologers & related workers,,,
5152,"Fortune-tellers, palmists & related workers",,,
5153,Building caretakers,,,
5160,Protective service workers,,,
5161,Fire-fighters,,,
5162,Police officers,,,
5163,Prison guards,,,
5164,Pet groomers and animal care workers,,,
5165,Driving instructors,,,
5169,Protective services workers not classified,,,
52,"Models, Salespersons, and Demonstrators",,,
5210,Fashion & other models,,,
5211,Stall and market salespersons,,,
5212,Street food salespersons,,,
5220,Salespersons,,,
5221,Shop keepers,,,
5222,Shop supervisors,,,
5223,Shop sales assistants,,,
5230,Stall & market salespersons,,,
5241,Fashion and other models,,,
5242,Sales demonstrators,,,
