MaritalStatusCode,MaritalStatusText,,,
CL,Common Law Married,,,
DV,Divorced,,,
EG,Engaged,,,
MA,Married,,,
PT,Partnership,,,
SN,Single,,,
SR,Separated,,,
U,Unknown,,,
WD,Widowed,,,
